Temp,Occupants,Hours,Weekend,temp_squared,occupancy_hours,sin_day,cos_day,EnergyConsumption
25.84,37.0,0.68,1.0,667.68,25.12,1.0,-0.1,1411.85
25.72,2.0,2.08,1.0,661.3,4.16,0.99,-0.12,769.24
24.93,294.0,11.56,0.0,621.33,3398.75,0.99,-0.13,2339.17
24.18,380.0,9.38,0.0,584.82,3565.73,0.99,-0.15,2992.4
20.61,487.0,8.62,0.0,424.91,4196.89,0.99,-0.17,3160.94
23.57,386.0,8.1,0.0,555.42,3127.29,0.98,-0.18,2681.64
23.77,337.0,10.58,0.0,564.92,3566.57,0.98,-0.2,2737.35
22.35,27.0,2.83,1.0,499.67,76.33,0.98,-0.22,1154.42
24.24,20.0,0.67,1.0,587.45,13.36,0.97,-0.23,849.37
25.89,472.0,8.29,0.0,670.37,3911.39,0.97,-0.25,2799.17
30.29,343.0,9.64,0.0,917.68,3306.01,0.96,-0.27,3116.54
25.11,215.0,9.24,0.0,630.56,1987.65,0.96,-0.28,2287.69
25.31,444.0,10.71,0.0,640.57,4754.57,0.95,-0.3,3413.13
24.26,306.0,10.42,0.0,588.56,3189.47,0.95,-0.32,2860.97
18.67,21.0,3.38,1.0,348.62,70.91,0.94,-0.33,1312.1
24.29,9.0,3.22,1.0,589.97,29.0,0.94,-0.35,1059.29
24.49,203.0,11.95,0.0,599.66,2426.29,0.93,-0.37,2014.32
31.63,294.0,9.82,0.0,1000.62,2885.91,0.92,-0.38,2596.06
23.6,408.0,10.75,0.0,556.9,4387.26,0.92,-0.4,3176.14
25.01,424.0,8.56,0.0,625.53,3630.38,0.91,-0.41,2877.14
23.93,246.0,9.94,0.0,572.62,2445.82,0.9,-0.43,2541.28
20.45,22.0,0.23,1.0,418.3,5.02,0.9,-0.44,1173.05
27.31,5.0,2.12,1.0,745.78,10.62,0.89,-0.46,968.46
26.06,398.0,11.86,0.0,678.91,4718.72,0.88,-0.47,3145.56
26.09,305.0,9.54,0.0,680.7,2908.73,0.87,-0.49,2927.37
20.9,479.0,8.16,0.0,436.95,3906.72,0.86,-0.5,3013.33
27.75,459.0,8.12,0.0,770.15,3728.83,0.85,-0.52,3293.03
19.25,307.0,9.55,0.0,370.44,2932.45,0.85,-0.53,2693.83
25.12,32.0,1.26,1.0,631.01,40.47,0.84,-0.55,1076.84
29.83,27.0,2.03,1.0,890.12,54.78,0.83,-0.56,1085.99
20.19,370.0,11.02,0.0,407.79,4079.2,0.82,-0.58,2890.28
21.37,394.0,9.83,0.0,456.5,3874.63,0.81,-0.59,3138.28
23.26,211.0,9.16,0.0,541.06,1932.12,0.8,-0.61,2178.79
21.35,394.0,11.6,0.0,455.65,4570.53,0.79,-0.62,3292.54
18.1,482.0,8.46,0.0,327.5,4079.92,0.77,-0.63,3673.43
22.84,20.0,3.81,1.0,521.87,76.14,0.76,-0.65,1456.92
19.34,31.0,2.56,1.0,374.03,79.25,0.75,-0.66,996.86
23.83,381.0,11.55,0.0,568.01,4401.93,0.74,-0.67,2977.94
19.54,229.0,10.41,0.0,381.71,2384.3,0.73,-0.68,2523.57
26.83,283.0,11.31,0.0,719.66,3199.83,0.72,-0.7,2782.12
19.71,365.0,11.94,0.0,388.33,4356.66,0.71,-0.71,3306.86
20.97,483.0,9.15,0.0,439.6,4421.2,0.69,-0.72,3397.65
24.25,47.0,0.56,1.0,587.98,26.25,0.68,-0.73,1270.34
17.99,5.0,0.12,1.0,323.57,0.6,0.67,-0.74,388.28
22.23,465.0,9.54,0.0,494.35,4437.05,0.66,-0.76,2988.54
25.34,497.0,9.36,0.0,642.22,4652.69,0.64,-0.77,3436.59
16.47,495.0,10.17,0.0,271.1,5031.99,0.63,-0.78,4096.33
21.71,424.0,8.62,0.0,471.18,3653.43,0.62,-0.79,3162.85
21.8,241.0,10.21,0.0,475.06,2461.78,0.6,-0.8,2244.8
23.22,39.0,0.38,1.0,539.32,14.65,0.59,-0.81,1046.99
17.03,12.0,2.69,1.0,289.91,32.28,0.57,-0.82,689.33
16.63,436.0,11.33,0.0,276.71,4941.89,0.56,-0.83,3339.13
22.02,221.0,9.76,0.0,484.8,2157.35,0.55,-0.84,2330.47
21.2,384.0,9.21,0.0,449.37,3536.38,0.53,-0.85,2923.91
20.91,441.0,9.04,0.0,437.32,3985.47,0.52,-0.86,2984.71
21.05,482.0,8.78,0.0,443.18,4231.23,0.5,-0.87,3293.76
17.82,32.0,3.78,1.0,317.65,120.91,0.49,-0.87,1105.69
20.41,37.0,2.73,1.0,416.5,101.12,0.47,-0.88,971.32
20.44,359.0,9.08,0.0,417.72,3260.08,0.46,-0.89,2432.78
17.26,288.0,11.87,0.0,297.98,3417.31,0.44,-0.9,2854.19
24.85,211.0,10.23,0.0,617.39,2158.71,0.43,-0.91,2198.33
20.52,272.0,9.39,0.0,420.87,2553.84,0.41,-0.91,2325.2
15.36,275.0,10.32,0.0,235.99,2838.51,0.39,-0.92,2762.02
20.75,30.0,3.72,1.0,430.43,111.71,0.38,-0.93,1059.06
15.69,26.0,2.76,1.0,246.27,71.71,0.36,-0.93,912.63
20.82,425.0,10.5,0.0,433.36,4464.6,0.35,-0.94,2785.8
21.77,375.0,9.96,0.0,473.93,3733.35,0.33,-0.94,2859.25
15.67,475.0,9.61,0.0,245.52,4563.38,0.31,-0.95,3525.77
20.86,238.0,11.98,0.0,435.03,2850.14,0.3,-0.95,2825.82
19.04,259.0,11.52,0.0,362.55,2984.01,0.28,-0.96,2535.52
20.1,34.0,0.43,1.0,404.12,14.5,0.26,-0.96,1022.02
23.16,30.0,2.63,1.0,536.41,78.94,0.25,-0.97,717.99
16.57,363.0,10.48,0.0,274.46,3805.2,0.23,-0.97,2575.02
14.87,358.0,8.81,0.0,221.24,3152.28,0.21,-0.98,2799.73
14.3,256.0,9.58,0.0,204.44,2452.62,0.2,-0.98,2220.78
14.35,277.0,8.16,0.0,205.93,2259.72,0.18,-0.98,2475.35
16.4,393.0,9.9,0.0,268.85,3891.56,0.16,-0.99,2897.38
17.48,10.0,3.13,1.0,305.6,31.3,0.15,-0.99,1288.99
17.12,20.0,2.27,1.0,293.01,45.36,0.13,-0.99,640.79
18.6,211.0,11.86,0.0,345.89,2501.64,0.11,-0.99,2057.5
15.98,300.0,11.64,0.0,255.5,3491.35,0.09,-1.0,2837.82
20.13,355.0,10.89,0.0,405.4,3865.44,0.08,-1.0,3054.2
14.81,324.0,10.13,0.0,219.28,3283.27,0.06,-1.0,2727.11
23.59,479.0,11.48,0.0,556.52,5498.86,0.04,-1.0,3872.75
17.14,37.0,3.23,1.0,293.61,119.56,0.03,-1.0,1211.13
12.51,30.0,3.05,1.0,156.62,91.47,0.01,-1.0,1011.33
11.7,415.0,8.5,0.0,136.92,3527.2,-0.01,-1.0,2892.16
16.19,361.0,11.18,0.0,262.09,4034.84,-0.03,-1.0,3266.31
13.9,327.0,9.1,0.0,193.19,2976.7,-0.04,-1.0,2779.74
16.54,349.0,11.51,0.0,273.57,4016.42,-0.06,-1.0,2985.99
15.65,235.0,11.78,0.0,244.79,2767.4,-0.08,-1.0,2700.18
13.84,35.0,0.02,1.0,191.44,0.81,-0.09,-1.0,1181.15
11.34,31.0,1.3,1.0,128.66,40.25,-0.11,-0.99,680.49
9.17,405.0,11.92,0.0,84.05,4829.2,-0.13,-0.99,3636.48
12.2,326.0,9.93,0.0,148.9,3238.36,-0.15,-0.99,3044.76
15.94,416.0,11.45,0.0,254.12,4764.94,-0.16,-0.99,3748.01
13.84,295.0,10.35,0.0,191.67,3054.7,-0.18,-0.98,2724.89
9.3,363.0,9.5,0.0,86.42,3448.98,-0.2,-0.98,2709.63
13.38,4.0,0.95,1.0,179.14,3.8,-0.21,-0.98,1345.21
13.85,20.0,1.49,1.0,191.9,29.86,-0.23,-0.97,962.24
9.88,493.0,11.05,0.0,97.58,5446.27,-0.25,-0.97,3495.88
12.82,394.0,9.55,0.0,164.47,3761.19,-0.26,-0.96,3167.82
12.37,350.0,10.05,0.0,153.07,3515.79,-0.28,-0.96,3537.8
8.6,322.0,9.97,0.0,74.03,3210.12,-0.3,-0.95,3103.08
12.94,386.0,10.31,0.0,167.5,3979.32,-0.31,-0.95,3402.88
13.39,18.0,1.85,1.0,179.25,33.37,-0.33,-0.94,1230.2
14.79,42.0,1.52,1.0,218.83,63.8,-0.35,-0.94,579.21
14.54,442.0,9.63,0.0,211.54,4256.61,-0.36,-0.93,2884.11
7.09,430.0,11.31,0.0,50.27,4863.33,-0.38,-0.93,3991.76
8.25,405.0,11.06,0.0,68.07,4478.54,-0.39,-0.92,3918.86
12.45,397.0,10.29,0.0,155.04,4086.76,-0.41,-0.91,3508.95
12.29,286.0,11.82,0.0,151.08,3381.72,-0.43,-0.91,3128.87
12.14,47.0,1.52,1.0,147.38,71.48,-0.44,-0.9,1330.07
22.0,18.0,1.6,1.0,483.96,28.72,-0.46,-0.89,549.68
12.0,245.0,11.42,0.0,144.03,2796.88,-0.47,-0.88,2322.06
13.54,487.0,9.76,0.0,183.44,4751.46,-0.49,-0.87,3163.29
12.85,214.0,11.39,0.0,165.11,2437.01,-0.5,-0.87,2261.29
11.79,243.0,11.57,0.0,139.09,2812.08,-0.52,-0.86,2739.51
8.75,368.0,8.25,0.0,76.51,3035.94,-0.53,-0.85,3005.79
11.82,27.0,2.87,1.0,139.82,77.56,-0.55,-0.84,1320.44
7.09,4.0,3.82,1.0,50.21,15.29,-0.56,-0.83,1064.27
8.55,460.0,10.04,0.0,73.13,4619.2,-0.57,-0.82,3352.89
7.67,308.0,10.51,0.0,58.77,3235.96,-0.59,-0.81,3225.26
9.23,482.0,11.71,0.0,85.18,5642.07,-0.6,-0.8,4082.14
15.79,303.0,8.08,0.0,249.36,2447.17,-0.62,-0.79,2511.88
3.11,455.0,9.91,0.0,9.68,4507.86,-0.63,-0.78,4205.47
10.64,48.0,0.97,1.0,113.17,46.75,-0.64,-0.77,1817.51
3.61,41.0,3.71,1.0,13.03,152.03,-0.66,-0.76,1613.72
6.9,444.0,10.77,0.0,47.66,4781.94,-0.67,-0.74,3842.72
11.46,486.0,8.54,0.0,131.31,4149.34,-0.68,-0.73,3243.11
8.26,472.0,9.2,0.0,68.23,4341.26,-0.69,-0.72,3878.23
4.71,282.0,9.43,0.0,22.19,2660.63,-0.71,-0.71,3142.31
5.68,309.0,11.22,0.0,32.23,3466.28,-0.72,-0.7,3526.13
9.74,31.0,1.03,1.0,94.93,31.84,-0.73,-0.68,1477.38
5.4,10.0,1.14,1.0,29.12,11.39,-0.74,-0.67,1621.72
8.12,450.0,11.83,0.0,65.98,5323.41,-0.75,-0.66,3721.45
7.5,411.0,8.04,0.0,56.22,3302.57,-0.76,-0.65,3465.34
5.3,490.0,11.99,0.0,28.05,5875.73,-0.77,-0.63,4690.22
13.58,332.0,10.71,0.0,184.29,3554.82,-0.79,-0.62,3298.97
8.94,400.0,11.31,0.0,79.92,4525.55,-0.8,-0.61,3746.53
0.86,20.0,2.86,1.0,0.74,57.29,-0.81,-0.59,2193.24
7.39,43.0,1.09,1.0,54.67,46.89,-0.82,-0.58,1437.04
4.75,477.0,10.95,0.0,22.57,5223.86,-0.83,-0.56,4051.54
9.2,418.0,11.34,0.0,84.6,4738.69,-0.84,-0.55,4043.85
4.17,288.0,10.96,0.0,17.39,3157.03,-0.85,-0.53,3602.97
6.11,271.0,8.57,0.0,37.36,2322.85,-0.85,-0.52,3044.78
7.88,446.0,11.01,0.0,62.15,4912.12,-0.86,-0.5,4091.47
8.88,9.0,2.1,1.0,78.86,18.91,-0.87,-0.49,1485.6
2.6,21.0,2.84,1.0,6.75,59.56,-0.88,-0.47,1841.73
5.12,295.0,11.06,0.0,26.17,3264.02,-0.89,-0.46,2920.22
4.62,274.0,11.38,0.0,21.31,3119.13,-0.9,-0.44,3433.23
4.01,253.0,10.45,0.0,16.05,2644.97,-0.9,-0.43,3303.54
11.19,253.0,8.35,0.0,125.22,2113.67,-0.91,-0.41,2113.31
7.04,417.0,9.95,0.0,49.55,4149.36,-0.92,-0.4,3536.44
1.97,14.0,3.22,1.0,3.9,45.14,-0.92,-0.38,2066.92
8.45,39.0,2.2,1.0,71.34,85.84,-0.93,-0.37,1222.72
12.0,219.0,9.63,0.0,143.94,2108.63,-0.94,-0.35,2180.68
8.67,245.0,8.26,0.0,75.17,2024.69,-0.94,-0.33,2159.86
0.96,392.0,9.4,0.0,0.92,3682.95,-0.95,-0.32,3684.15
4.01,257.0,8.44,0.0,16.08,2170.11,-0.95,-0.3,3071.12
9.21,310.0,11.23,0.0,84.89,3482.21,-0.96,-0.28,3268.76
3.24,16.0,3.54,1.0,10.51,56.59,-0.96,-0.27,1923.51
6.65,28.0,0.91,1.0,44.25,25.54,-0.97,-0.25,1568.78
7.6,207.0,11.82,0.0,57.8,2446.84,-0.97,-0.23,2502.82
2.46,228.0,10.09,0.0,6.05,2300.59,-0.98,-0.22,2665.21
5.03,311.0,9.2,0.0,25.25,2860.66,-0.98,-0.2,3071.69
-4.55,360.0,8.31,0.0,20.73,2990.68,-0.98,-0.18,4205.66
2.07,330.0,10.0,0.0,4.27,3300.82,-0.99,-0.17,3974.98
4.36,47.0,1.41,1.0,18.97,66.44,-0.99,-0.15,1599.57
1.35,32.0,0.95,1.0,1.81,30.32,-0.99,-0.13,2263.58
9.96,396.0,8.2,0.0,99.29,3247.56,-0.99,-0.12,2842.48
0.76,403.0,8.29,0.0,0.58,3341.52,-1.0,-0.1,3774.15
3.71,411.0,9.61,0.0,13.79,3950.32,-1.0,-0.08,4139.1
5.41,308.0,9.18,0.0,29.3,2827.8,-1.0,-0.06,3645.85
9.34,475.0,8.93,0.0,87.14,4241.53,-1.0,-0.05,3711.35
0.7,29.0,0.38,1.0,0.49,11.08,-1.0,-0.03,2398.61
8.49,37.0,2.5,1.0,72.09,92.33,-1.0,-0.01,1373.31
5.03,459.0,11.72,0.0,25.31,5378.06,-1.0,0.0,4058.43
2.06,442.0,9.62,0.0,4.23,4252.22,-1.0,0.02,4264.93
6.39,474.0,11.62,0.0,40.88,5509.99,-1.0,0.04,4507.29
5.61,301.0,9.29,0.0,31.5,2795.08,-1.0,0.06,3292.24
3.23,372.0,9.91,0.0,10.41,3684.94,-1.0,0.07,3600.36
5.25,12.0,0.87,1.0,27.56,10.4,-1.0,0.09,1856.21
3.9,1.0,0.38,1.0,15.22,0.38,-0.99,0.11,1340.44
5.42,387.0,11.92,0.0,29.36,4611.46,-0.99,0.12,3741.15
7.09,285.0,10.41,0.0,50.23,2967.98,-0.99,0.14,3178.04
9.88,251.0,9.43,0.0,97.7,2367.25,-0.99,0.16,2610.59
1.44,310.0,10.59,0.0,2.08,3283.29,-0.98,0.18,3539.19
11.59,242.0,8.49,0.0,134.24,2054.99,-0.98,0.19,2885.52
-0.63,25.0,1.56,1.0,0.4,39.09,-0.98,0.21,2391.41
4.8,10.0,2.38,1.0,23.07,23.78,-0.97,0.23,1404.56
7.06,497.0,9.8,0.0,49.9,4869.31,-0.97,0.24,3748.51
6.19,439.0,10.34,0.0,38.26,4540.78,-0.97,0.26,3950.57
3.52,314.0,10.5,0.0,12.39,3296.73,-0.96,0.28,3562.15
4.81,225.0,8.29,0.0,23.17,1864.6,-0.96,0.29,2616.99
4.01,498.0,10.73,0.0,16.08,5343.77,-0.95,0.31,4514.27
3.78,19.0,1.71,1.0,14.26,32.54,-0.95,0.33,2039.68
8.15,7.0,2.87,1.0,66.43,20.09,-0.94,0.34,1469.15
6.73,219.0,11.29,0.0,45.33,2472.54,-0.93,0.36,2639.48
3.65,410.0,11.22,0.0,13.29,4598.49,-0.93,0.37,4252.85
8.49,439.0,10.21,0.0,72.06,4482.19,-0.92,0.39,3786.85
6.78,238.0,10.08,0.0,45.98,2399.2,-0.91,0.41,3041.51
8.37,467.0,8.57,0.0,70.03,4002.89,-0.91,0.42,3564.2
7.89,19.0,2.31,1.0,62.29,43.96,-0.9,0.44,1552.3
3.59,15.0,1.1,1.0,12.91,16.45,-0.89,0.45,1474.97
4.48,353.0,9.99,0.0,20.06,3525.33,-0.88,0.47,3501.32
8.48,241.0,9.14,0.0,71.96,2202.04,-0.88,0.48,2656.31
8.16,210.0,8.54,0.0,66.53,1792.42,-0.87,0.5,2408.4
6.35,493.0,10.52,0.0,40.32,5185.49,-0.86,0.51,3958.49
6.85,297.0,8.22,0.0,46.97,2440.55,-0.85,0.53,2842.28
10.43,46.0,0.91,1.0,108.72,41.7,-0.84,0.54,1291.25
4.91,47.0,1.42,1.0,24.14,66.74,-0.83,0.56,1436.85
8.43,419.0,8.0,0.0,71.01,3352.23,-0.82,0.57,2686.02
6.28,264.0,10.04,0.0,39.41,2651.75,-0.81,0.58,2930.33
6.33,431.0,8.19,0.0,40.11,3528.77,-0.8,0.6,3130.95
10.39,251.0,9.1,0.0,107.89,2285.27,-0.79,0.61,2409.54
9.67,462.0,10.83,0.0,93.57,5002.49,-0.78,0.63,3919.23
9.75,19.0,2.16,1.0,94.99,41.04,-0.77,0.64,1673.24
11.33,36.0,3.52,1.0,128.45,126.73,-0.76,0.65,1029.73
7.59,339.0,8.02,0.0,57.66,2717.18,-0.75,0.66,2367.81
9.69,250.0,8.99,0.0,93.93,2246.82,-0.74,0.68,2278.59
6.83,316.0,10.96,0.0,46.69,3464.5,-0.72,0.69,3165.55
8.86,245.0,9.27,0.0,78.43,2269.94,-0.71,0.7,2736.71
7.61,287.0,8.41,0.0,57.99,2412.97,-0.7,0.71,2821.1
8.42,14.0,3.98,1.0,70.9,55.67,-0.69,0.73,1382.03
10.04,30.0,2.65,1.0,100.82,79.42,-0.67,0.74,948.09
5.93,288.0,11.37,0.0,35.15,3274.8,-0.66,0.75,2981.33
14.79,317.0,9.25,0.0,218.77,2933.33,-0.65,0.76,2496.43
5.63,253.0,11.16,0.0,31.67,2822.4,-0.64,0.77,2964.05
5.14,315.0,11.57,0.0,26.39,3643.76,-0.62,0.78,3777.73
12.39,317.0,9.74,0.0,153.5,3086.08,-0.61,0.79,3052.95
11.43,48.0,3.83,1.0,130.59,183.86,-0.59,0.8,1421.36
11.06,16.0,0.7,1.0,122.42,11.22,-0.58,0.81,835.25
11.22,206.0,11.86,0.0,125.84,2442.4,-0.57,0.82,2192.07
9.44,321.0,8.36,0.0,89.09,2682.65,-0.55,0.83,2772.0
6.93,210.0,10.75,0.0,48.0,2257.1,-0.54,0.84,2608.82
9.99,414.0,9.98,0.0,99.87,4129.76,-0.52,0.85,3608.64
7.88,478.0,9.55,0.0,62.12,4565.18,-0.51,0.86,4105.14
12.99,10.0,3.02,1.0,168.68,30.25,-0.49,0.87,1700.61
9.77,33.0,1.39,1.0,95.48,45.88,-0.48,0.88,1184.9
7.89,225.0,8.02,0.0,62.22,1803.93,-0.46,0.89,2169.41
9.55,253.0,8.67,0.0,91.27,2192.96,-0.45,0.89,2567.33
11.91,228.0,10.85,0.0,141.87,2474.3,-0.43,0.9,2486.49
9.14,363.0,10.67,0.0,83.48,3871.59,-0.42,0.91,3216.42
8.52,469.0,11.86,0.0,72.56,5564.31,-0.4,0.92,4287.42
11.87,49.0,0.61,1.0,141.0,29.87,-0.39,0.92,1639.41
12.04,37.0,3.97,1.0,144.91,146.89,-0.37,0.93,911.73
9.94,472.0,10.81,0.0,98.85,5102.4,-0.35,0.94,3578.87
10.21,407.0,9.19,0.0,104.28,3741.23,-0.34,0.94,3568.83
12.48,437.0,8.42,0.0,155.84,3680.18,-0.32,0.95,2886.55
7.61,292.0,11.13,0.0,57.86,3249.17,-0.3,0.95,3485.24
7.89,372.0,10.58,0.0,62.3,3934.49,-0.29,0.96,3755.3
10.13,19.0,0.36,1.0,102.52,6.77,-0.27,0.96,1477.15
11.81,2.0,3.02,1.0,139.38,6.04,-0.26,0.97,1128.0
13.55,416.0,11.83,0.0,183.49,4920.11,-0.24,0.97,3324.64
17.21,305.0,10.0,0.0,296.08,3050.49,-0.22,0.98,2909.82
15.52,246.0,9.73,0.0,240.93,2393.81,-0.21,0.98,2473.77
12.64,380.0,9.83,0.0,159.72,3735.7,-0.19,0.98,2823.41
13.23,263.0,8.84,0.0,175.03,2323.74,-0.17,0.99,2531.8
10.45,22.0,1.21,1.0,109.19,26.68,-0.15,0.99,1289.35
13.57,39.0,1.05,1.0,184.19,41.05,-0.14,0.99,960.85
12.93,286.0,8.21,0.0,167.24,2347.89,-0.12,0.99,1947.96
14.94,416.0,11.07,0.0,223.12,4605.23,-0.1,0.99,3590.67
