Temp,Occupants,Hours,Weekend,Devices,DayOfYear,EnergyConsumption
20.91,441.0,9.04,0.0,893.0,151.0,2984.71
21.05,482.0,8.78,0.0,1063.0,152.0,3293.76
17.82,32.0,3.78,1.0,56.0,153.0,1105.69
20.41,37.0,2.73,1.0,72.0,154.0,971.32
20.44,359.0,9.08,0.0,582.0,155.0,2432.78
17.26,288.0,11.87,0.0,491.0,156.0,2854.19
24.85,211.0,10.23,0.0,316.0,157.0,2198.33
20.52,272.0,9.39,0.0,418.0,158.0,2325.2
15.36,275.0,10.32,0.0,681.0,159.0,2762.02
20.75,30.0,3.72,1.0,52.0,160.0,1059.06
15.69,26.0,2.76,1.0,56.0,161.0,912.63
20.82,425.0,10.5,0.0,994.0,162.0,2785.8
21.77,375.0,9.96,0.0,768.0,163.0,2859.25
15.67,475.0,9.61,0.0,785.0,164.0,3525.77
20.86,238.0,11.98,0.0,530.0,165.0,2825.82
19.04,259.0,11.52,0.0,543.0,166.0,2535.52
20.1,34.0,0.43,1.0,75.0,167.0,1022.02
23.16,30.0,2.63,1.0,68.0,168.0,717.99
16.57,363.0,10.48,0.0,898.0,169.0,2575.02
14.87,358.0,8.81,0.0,742.0,170.0,2799.73
14.3,256.0,9.58,0.0,471.0,171.0,2220.78
14.35,277.0,8.16,0.0,595.0,172.0,2475.35
16.4,393.0,9.9,0.0,616.0,173.0,2897.38
17.48,10.0,3.13,1.0,23.0,174.0,1288.99
17.12,20.0,2.27,1.0,32.0,175.0,640.79
18.6,211.0,11.86,0.0,385.0,176.0,2057.5
15.98,300.0,11.64,0.0,694.0,177.0,2837.82
20.13,355.0,10.89,0.0,744.0,178.0,3054.2
14.81,324.0,10.13,0.0,613.0,179.0,2727.11
23.59,479.0,11.48,0.0,945.0,180.0,3872.75
17.14,37.0,3.23,1.0,87.0,181.0,1211.13
12.51,30.0,3.05,1.0,55.0,182.0,1011.33
11.7,415.0,8.5,0.0,983.0,183.0,2892.16
16.19,361.0,11.18,0.0,573.0,184.0,3266.31
13.9,327.0,9.1,0.0,744.0,185.0,2779.74
16.54,349.0,11.51,0.0,819.0,186.0,2985.99
15.65,235.0,11.78,0.0,395.0,187.0,2700.18
13.84,35.0,0.02,1.0,67.0,188.0,1181.15
11.34,31.0,1.3,1.0,51.0,189.0,680.49
9.17,405.0,11.92,0.0,893.0,190.0,3636.48
12.2,326.0,9.93,0.0,663.0,191.0,3044.76
15.94,416.0,11.45,0.0,888.0,192.0,3748.01
13.84,295.0,10.35,0.0,500.0,193.0,2724.89
9.3,363.0,9.5,0.0,621.0,194.0,2709.63
13.38,4.0,0.95,1.0,6.0,195.0,1345.21
13.85,20.0,1.49,1.0,36.0,196.0,962.24
9.88,493.0,11.05,0.0,1015.0,197.0,3495.88
12.82,394.0,9.55,0.0,929.0,198.0,3167.82
12.37,350.0,10.05,0.0,758.0,199.0,3537.8
8.6,322.0,9.97,0.0,623.0,200.0,3103.08
12.94,386.0,10.31,0.0,946.0,201.0,3402.88
13.39,18.0,1.85,1.0,39.0,202.0,1230.2
14.79,42.0,1.52,1.0,102.0,203.0,579.21
14.54,442.0,9.63,0.0,896.0,204.0,2884.11
7.09,430.0,11.31,0.0,756.0,205.0,3991.76
8.25,405.0,11.06,0.0,628.0,206.0,3918.86
12.45,397.0,10.29,0.0,883.0,207.0,3508.95
12.29,286.0,11.82,0.0,463.0,208.0,3128.87
12.14,47.0,1.52,1.0,84.0,209.0,1330.07
22.0,18.0,1.6,1.0,36.0,210.0,549.68
12.0,245.0,11.42,0.0,505.0,211.0,2322.06
13.54,487.0,9.76,0.0,1022.0,212.0,3163.29
12.85,214.0,11.39,0.0,356.0,213.0,2261.29
11.79,243.0,11.57,0.0,456.0,214.0,2739.51
8.75,368.0,8.25,0.0,779.0,215.0,3005.79
11.82,27.0,2.87,1.0,66.0,216.0,1320.44
7.09,4.0,3.82,1.0,8.0,217.0,1064.27
8.55,460.0,10.04,0.0,1114.0,218.0,3352.89
7.67,308.0,10.51,0.0,696.0,219.0,3225.26
9.23,482.0,11.71,0.0,1008.0,220.0,4082.14
15.79,303.0,8.08,0.0,512.0,221.0,2511.88
3.11,455.0,9.91,0.0,985.0,222.0,4205.47
10.64,48.0,0.97,1.0,101.0,223.0,1817.51
3.61,41.0,3.71,1.0,86.0,224.0,1613.72
6.9,444.0,10.77,0.0,883.0,225.0,3842.72
11.46,486.0,8.54,0.0,985.0,226.0,3243.11
8.26,472.0,9.2,0.0,865.0,227.0,3878.23
4.71,282.0,9.43,0.0,569.0,228.0,3142.31
5.68,309.0,11.22,0.0,524.0,229.0,3526.13
9.74,31.0,1.03,1.0,71.0,230.0,1477.38
5.4,10.0,1.14,1.0,16.0,231.0,1621.72
8.12,450.0,11.83,0.0,713.0,232.0,3721.45
7.5,411.0,8.04,0.0,795.0,233.0,3465.34
5.3,490.0,11.99,0.0,1057.0,234.0,4690.22
13.58,332.0,10.71,0.0,643.0,235.0,3298.97
8.94,400.0,11.31,0.0,710.0,236.0,3746.53
0.86,20.0,2.86,1.0,41.0,237.0,2193.24
7.39,43.0,1.09,1.0,79.0,238.0,1437.04
4.75,477.0,10.95,0.0,1160.0,239.0,4051.54
9.2,418.0,11.34,0.0,1012.0,240.0,4043.85
4.17,288.0,10.96,0.0,576.0,241.0,3602.97
6.11,271.0,8.57,0.0,495.0,242.0,3044.78
7.88,446.0,11.01,0.0,997.0,243.0,4091.47
8.88,9.0,2.1,1.0,13.0,244.0,1485.6
2.6,21.0,2.84,1.0,41.0,245.0,1841.73
5.12,295.0,11.06,0.0,541.0,246.0,2920.22
4.62,274.0,11.38,0.0,663.0,247.0,3433.23
4.01,253.0,10.45,0.0,382.0,248.0,3303.54
11.19,253.0,8.35,0.0,519.0,249.0,2113.31
7.04,417.0,9.95,0.0,934.0,250.0,3536.44
1.97,14.0,3.22,1.0,27.0,251.0,2066.92
8.45,39.0,2.2,1.0,61.0,252.0,1222.72
12.0,219.0,9.63,0.0,541.0,253.0,2180.68
8.67,245.0,8.26,0.0,494.0,254.0,2159.86
0.96,392.0,9.4,0.0,828.0,255.0,3684.15
4.01,257.0,8.44,0.0,446.0,256.0,3071.12
9.21,310.0,11.23,0.0,614.0,257.0,3268.76
3.24,16.0,3.54,1.0,30.0,258.0,1923.51
6.65,28.0,0.91,1.0,44.0,259.0,1568.78
7.6,207.0,11.82,0.0,332.0,260.0,2502.82
2.46,228.0,10.09,0.0,532.0,261.0,2665.21
5.03,311.0,9.2,0.0,541.0,262.0,3071.69
-4.55,360.0,8.31,0.0,610.0,263.0,4205.66
2.07,330.0,10.0,0.0,661.0,264.0,3974.98
4.36,47.0,1.41,1.0,106.0,265.0,1599.57
1.35,32.0,0.95,1.0,49.0,266.0,2263.58
9.96,396.0,8.2,0.0,822.0,267.0,2842.48
0.76,403.0,8.29,0.0,652.0,268.0,3774.15
3.71,411.0,9.61,0.0,631.0,269.0,4139.1
5.41,308.0,9.18,0.0,478.0,270.0,3645.85
9.34,475.0,8.93,0.0,1108.0,271.0,3711.35
0.7,29.0,0.38,1.0,46.0,272.0,2398.61
8.49,37.0,2.5,1.0,57.0,273.0,1373.31
5.03,459.0,11.72,0.0,889.0,274.0,4058.43
2.06,442.0,9.62,0.0,1036.0,275.0,4264.93
6.39,474.0,11.62,0.0,835.0,276.0,4507.29
5.61,301.0,9.29,0.0,578.0,277.0,3292.24
3.23,372.0,9.91,0.0,572.0,278.0,3600.36
5.25,12.0,0.87,1.0,23.0,279.0,1856.21
3.9,1.0,0.38,1.0,2.0,280.0,1340.44
5.42,387.0,11.92,0.0,801.0,281.0,3741.15
7.09,285.0,10.41,0.0,522.0,282.0,3178.04
9.88,251.0,9.43,0.0,455.0,283.0,2610.59
1.44,310.0,10.59,0.0,498.0,284.0,3539.19
11.59,242.0,8.49,0.0,451.0,285.0,2885.52
-0.63,25.0,1.56,1.0,39.0,286.0,2391.41
4.8,10.0,2.38,1.0,22.0,287.0,1404.56
7.06,497.0,9.8,0.0,1225.0,288.0,3748.51
6.19,439.0,10.34,0.0,1084.0,289.0,3950.57
3.52,314.0,10.5,0.0,742.0,290.0,3562.15
4.81,225.0,8.29,0.0,472.0,291.0,2616.99
4.01,498.0,10.73,0.0,1096.0,292.0,4514.27
3.78,19.0,1.71,1.0,33.0,293.0,2039.68
8.15,7.0,2.87,1.0,14.0,294.0,1469.15
6.73,219.0,11.29,0.0,428.0,295.0,2639.48
3.65,410.0,11.22,0.0,812.0,296.0,4252.85
8.49,439.0,10.21,0.0,991.0,297.0,3786.85
6.78,238.0,10.08,0.0,424.0,298.0,3041.51
8.37,467.0,8.57,0.0,849.0,299.0,3564.2
7.89,19.0,2.31,1.0,46.0,300.0,1552.3
3.59,15.0,1.1,1.0,23.0,301.0,1474.97
4.48,353.0,9.99,0.0,700.0,302.0,3501.32
8.48,241.0,9.14,0.0,581.0,303.0,2656.31
8.16,210.0,8.54,0.0,443.0,304.0,2408.4
6.35,493.0,10.52,0.0,1008.0,305.0,3958.49
6.85,297.0,8.22,0.0,519.0,306.0,2842.28
10.43,46.0,0.91,1.0,84.0,307.0,1291.25
4.91,47.0,1.42,1.0,110.0,308.0,1436.85
8.43,419.0,8.0,0.0,862.0,309.0,2686.02
6.28,264.0,10.04,0.0,531.0,310.0,2930.33
6.33,431.0,8.19,0.0,689.0,311.0,3130.95
10.39,251.0,9.1,0.0,380.0,312.0,2409.54
9.67,462.0,10.83,0.0,1138.0,313.0,3919.23
9.75,19.0,2.16,1.0,35.0,314.0,1673.24
11.33,36.0,3.52,1.0,75.0,315.0,1029.73
7.59,339.0,8.02,0.0,535.0,316.0,2367.81
9.69,250.0,8.99,0.0,545.0,317.0,2278.59
6.83,316.0,10.96,0.0,768.0,318.0,3165.55
8.86,245.0,9.27,0.0,508.0,319.0,2736.71
7.61,287.0,8.41,0.0,466.0,320.0,2821.1
8.42,14.0,3.98,1.0,29.0,321.0,1382.03
10.04,30.0,2.65,1.0,67.0,322.0,948.09
5.93,288.0,11.37,0.0,549.0,323.0,2981.33
14.79,317.0,9.25,0.0,754.0,324.0,2496.43
5.63,253.0,11.16,0.0,543.0,325.0,2964.05
5.14,315.0,11.57,0.0,755.0,326.0,3777.73
12.39,317.0,9.74,0.0,673.0,327.0,3052.95
11.43,48.0,3.83,1.0,78.0,328.0,1421.36
11.06,16.0,0.7,1.0,28.0,329.0,835.25
11.22,206.0,11.86,0.0,350.0,330.0,2192.07
9.44,321.0,8.36,0.0,773.0,331.0,2772.0
6.93,210.0,10.75,0.0,474.0,332.0,2608.82
9.99,414.0,9.98,0.0,901.0,333.0,3608.64
7.88,478.0,9.55,0.0,860.0,334.0,4105.14
12.99,10.0,3.02,1.0,16.0,335.0,1700.61
9.77,33.0,1.39,1.0,74.0,336.0,1184.9
7.89,225.0,8.02,0.0,444.0,337.0,2169.41
9.55,253.0,8.67,0.0,436.0,338.0,2567.33
11.91,228.0,10.85,0.0,482.0,339.0,2486.49
9.14,363.0,10.67,0.0,559.0,340.0,3216.42
8.52,469.0,11.86,0.0,856.0,341.0,4287.42
11.87,49.0,0.61,1.0,96.0,342.0,1639.41
12.04,37.0,3.97,1.0,60.0,343.0,911.73
9.94,472.0,10.81,0.0,1172.0,344.0,3578.87
10.21,407.0,9.19,0.0,695.0,345.0,3568.83
12.48,437.0,8.42,0.0,712.0,346.0,2886.55
7.61,292.0,11.13,0.0,497.0,347.0,3485.24
7.89,372.0,10.58,0.0,844.0,348.0,3755.3
10.13,19.0,0.36,1.0,36.0,349.0,1477.15
11.81,2.0,3.02,1.0,4.0,350.0,1128.0
13.55,416.0,11.83,0.0,632.0,351.0,3324.64
17.21,305.0,10.0,0.0,468.0,352.0,2909.82
15.52,246.0,9.73,0.0,478.0,353.0,2473.77
12.64,380.0,9.83,0.0,880.0,354.0,2823.41
13.23,263.0,8.84,0.0,627.0,355.0,2531.8
10.45,22.0,1.21,1.0,34.0,356.0,1289.35
13.57,39.0,1.05,1.0,79.0,357.0,960.85
12.93,286.0,8.21,0.0,690.0,358.0,1947.96
14.94,416.0,11.07,0.0,785.0,359.0,3590.67
11.66,206.0,9.67,0.0,479.0,360.0,2576.06
15.87,477.0,11.29,0.0,779.0,361.0,3652.47
19.08,409.0,11.4,0.0,996.0,362.0,3400.2
14.33,9.0,1.59,1.0,20.0,363.0,1313.02
16.03,38.0,1.79,1.0,92.0,364.0,960.63
17.07,429.0,9.89,0.0,933.0,365.0,2897.09
13.97,360.0,11.52,0.0,670.0,1.0,3496.88
16.02,200.0,8.86,0.0,487.0,2.0,2259.51
15.55,435.0,10.71,0.0,772.0,3.0,3512.38
15.98,387.0,10.43,0.0,709.0,4.0,3338.27
13.54,35.0,3.41,1.0,77.0,5.0,1196.55
16.1,36.0,0.83,1.0,81.0,6.0,863.85
17.7,417.0,10.61,0.0,1013.0,7.0,3107.45
20.73,459.0,10.95,0.0,782.0,8.0,3613.78
19.42,200.0,9.26,0.0,459.0,9.0,2258.08
23.17,270.0,10.58,0.0,604.0,10.0,2337.49
14.58,377.0,9.58,0.0,589.0,11.0,2784.97
19.67,37.0,3.47,1.0,69.0,12.0,1167.73
17.77,23.0,3.22,1.0,41.0,13.0,887.62
23.96,207.0,11.56,0.0,373.0,14.0,1799.88
15.13,452.0,9.15,0.0,1122.0,15.0,3055.68
15.2,491.0,9.47,0.0,1052.0,16.0,3445.24
16.09,443.0,8.23,0.0,982.0,17.0,3324.85
11.68,322.0,8.45,0.0,797.0,18.0,2743.91
16.64,27.0,2.78,1.0,50.0,19.0,1417.13
16.1,45.0,1.38,1.0,103.0,20.0,1121.15
18.99,231.0,11.34,0.0,446.0,21.0,2034.25
19.72,345.0,8.06,0.0,817.0,22.0,2198.09
24.49,355.0,9.52,0.0,596.0,23.0,2400.15
21.87,215.0,9.35,0.0,526.0,24.0,1867.05
17.44,246.0,8.08,0.0,422.0,25.0,1798.68
16.63,45.0,3.69,1.0,82.0,26.0,1306.07
20.96,23.0,1.95,1.0,51.0,27.0,807.18
15.67,230.0,9.97,0.0,435.0,28.0,2009.49
25.28,459.0,9.62,0.0,967.0,29.0,2839.08
23.48,216.0,10.12,0.0,420.0,30.0,2102.92
18.68,238.0,10.38,0.0,533.0,31.0,2403.31
15.09,238.0,8.04,0.0,411.0,32.0,2125.34
24.44,0.0,0.59,1.0,0.0,33.0,963.09
20.18,30.0,1.47,1.0,53.0,34.0,867.33
24.38,357.0,10.08,0.0,704.0,35.0,2771.32
16.02,477.0,10.71,0.0,795.0,36.0,3673.75
19.15,402.0,9.25,0.0,745.0,37.0,3190.32
21.1,265.0,11.1,0.0,503.0,38.0,2697.96
21.36,307.0,11.09,0.0,478.0,39.0,3158.43
20.0,21.0,3.86,1.0,43.0,40.0,859.09
23.35,12.0,1.73,1.0,28.0,41.0,917.11
18.41,491.0,8.5,0.0,811.0,42.0,2831.32
21.32,217.0,8.07,0.0,455.0,43.0,2098.69
22.23,289.0,11.08,0.0,625.0,44.0,2474.12
23.54,380.0,11.23,0.0,729.0,45.0,3216.5
24.25,454.0,8.48,0.0,999.0,46.0,3260.47
18.86,16.0,0.86,1.0,30.0,47.0,1701.57
17.75,14.0,2.48,1.0,28.0,48.0,1004.14
26.3,286.0,9.17,0.0,431.0,49.0,1982.13
23.58,289.0,11.09,0.0,633.0,50.0,2543.25
20.45,436.0,10.07,0.0,942.0,51.0,3231.97
27.46,269.0,9.39,0.0,413.0,52.0,2306.39
23.26,243.0,9.49,0.0,453.0,53.0,2201.34
26.55,16.0,0.23,1.0,39.0,54.0,1193.88
23.32,31.0,3.98,1.0,59.0,55.0,672.83
29.4,285.0,10.59,0.0,570.0,56.0,2557.48
28.58,218.0,11.9,0.0,525.0,57.0,2541.24
22.66,300.0,11.39,0.0,665.0,58.0,2676.86
26.41,294.0,8.09,0.0,612.0,59.0,2359.71
25.52,453.0,11.59,0.0,1040.0,60.0,3958.95
27.78,20.0,0.49,1.0,47.0,61.0,1529.01
20.86,17.0,1.21,1.0,33.0,62.0,886.24
25.9,232.0,9.83,0.0,458.0,63.0,1908.25
27.1,428.0,9.59,0.0,807.0,64.0,3107.06
18.72,211.0,9.21,0.0,520.0,65.0,2131.04
20.52,317.0,8.26,0.0,696.0,66.0,2031.67
18.02,354.0,8.91,0.0,560.0,67.0,2984.34
23.4,37.0,3.26,1.0,87.0,68.0,1216.14
26.43,18.0,2.46,1.0,35.0,69.0,962.21
28.85,228.0,10.99,0.0,357.0,70.0,2135.18
24.62,360.0,9.9,0.0,737.0,71.0,2710.81
29.34,434.0,8.23,0.0,832.0,72.0,3051.85
20.37,389.0,11.83,0.0,924.0,73.0,3278.94
19.45,316.0,11.77,0.0,538.0,74.0,3516.99
24.44,38.0,3.55,1.0,88.0,75.0,1128.34
25.81,3.0,1.8,1.0,6.0,76.0,743.46
24.6,379.0,10.18,0.0,589.0,77.0,2656.27
18.54,371.0,11.85,0.0,917.0,78.0,3563.41
24.51,473.0,8.3,0.0,951.0,79.0,3253.29
20.9,458.0,9.46,0.0,820.0,80.0,3232.92
26.85,334.0,8.9,0.0,657.0,81.0,3015.72
25.97,16.0,3.08,1.0,37.0,82.0,1337.98
22.08,48.0,0.04,1.0,86.0,83.0,926.5
23.38,435.0,10.49,0.0,736.0,84.0,3161.99
21.76,385.0,11.13,0.0,627.0,85.0,3711.26
24.77,294.0,10.31,0.0,528.0,86.0,3133.01
27.84,210.0,8.59,0.0,478.0,87.0,2044.73
22.03,267.0,11.24,0.0,526.0,88.0,2774.11
26.5,13.0,0.55,1.0,22.0,89.0,1217.8
23.41,30.0,2.14,1.0,49.0,90.0,943.97
22.62,297.0,10.7,0.0,544.0,91.0,2109.38
24.68,292.0,9.04,0.0,712.0,92.0,2384.79
21.89,221.0,9.38,0.0,407.0,93.0,1996.71
23.33,371.0,11.67,0.0,923.0,94.0,3317.01
21.39,333.0,9.16,0.0,661.0,95.0,2925.43
30.86,31.0,3.84,1.0,52.0,96.0,1097.22
25.06,37.0,1.95,1.0,88.0,97.0,937.35
22.83,284.0,10.83,0.0,556.0,98.0,2495.46
25.55,254.0,8.25,0.0,561.0,99.0,2115.71
24.55,450.0,8.59,0.0,1117.0,100.0,3085.8
24.2,343.0,8.03,0.0,531.0,101.0,2636.0
26.67,366.0,10.52,0.0,584.0,102.0,3146.6
27.07,2.0,1.95,1.0,4.0,103.0,1242.52
23.17,44.0,0.6,1.0,78.0,104.0,688.38
22.99,378.0,11.83,0.0,636.0,105.0,2841.82
23.85,318.0,10.12,0.0,489.0,106.0,2922.67
17.73,464.0,8.97,0.0,706.0,107.0,3288.6
20.04,349.0,10.0,0.0,793.0,108.0,2987.24
28.64,414.0,10.72,0.0,676.0,109.0,3462.25
29.42,7.0,1.84,1.0,13.0,110.0,1398.24
23.68,7.0,3.14,1.0,14.0,111.0,1058.17
26.1,252.0,11.23,0.0,485.0,112.0,2180.33
25.24,450.0,9.84,0.0,687.0,113.0,3077.99
33.48,494.0,10.19,0.0,1128.0,114.0,4205.28
27.53,470.0,9.73,0.0,709.0,115.0,3743.2
